Player,Team,Age,Position,G,GS,Completions,Attempts,Cmp%,Yards,TD,TD%,Int,Int%,First_Downs,Longest_completion,Y/A,AY/A,Y/C,Y/G,Rate,Sacks,Sack_Yards_Lost,NY/A,ANY/A,Sk%,4th_Q_comebacks,Game_winning_drives
Matt Ryan,ATL,35,QB,16,16,407,626,65,4581,26,4.2,11,1.8,242,63,7.3,7.4,11.3,286.3,93.3,41,257,6.48,6.52,6.1,0,0
Tom Brady,TAM,43,QB,16,16,401,610,65.7,4633,40,6.6,12,2,233,50,7.6,8,11.6,289.6,102.2,21,143,7.12,7.53,3.3,3,3
Ben Roethlisberger,PIT,38,QB,15,15,399,608,65.6,3803,33,5.4,10,1.6,193,84,6.3,6.6,9.5,253.5,94.1,13,118,5.93,6.27,2.1,4,4
Justin Herbert,LAC,22,QB,15,15,396,595,66.6,4336,31,5.2,10,1.7,216,72,7.3,7.6,10.9,289.1,98.3,32,218,6.57,6.84,5.1,1,3
Patrick Mahomes,KAN,25,QB,15,15,390,588,66.3,4740,38,6.5,6,1,238,75,8.1,8.9,12.2,316,108.2,22,147,7.53,8.33,3.6,3,3
Josh Allen,BUF,24,QB,16,16,396,572,69.2,4544,37,6.5,10,1.7,228,55,7.9,8.5,11.5,284,107.2,26,159,7.33,7.82,4.3,2,3
Kyler Murray ,ARI,23,QB,16,16,375,558,67.2,3971,26,4.7,12,2.2,205,80,7.1,7.1,10.6,248.2,94.3,27,176,6.49,6.45,4.6,3,4
Russell Wilson,SEA,32,QB,16,16,384,558,68.8,4212,40,7.2,13,2.3,213,62,7.5,7.9,11,263.3,105.1,47,301,6.46,6.82,7.8,3,3
Jared Goff,LAR,26,QB,15,15,370,552,67,3952,20,3.6,13,2.4,188,56,7.2,6.8,10.7,263.5,90,23,161,6.59,6.27,4,0,1
Deshaun Watson ,HOU,25,QB,16,16,382,544,70.2,4823,33,6.1,7,1.3,221,77,8.9,9.5,12.6,301.4,112.4,49,293,7.64,8.22,8.3,0,0
Philip Rivers,IND,39,QB,16,16,369,543,68,4169,24,4.4,11,2,200,55,7.7,7.7,11.3,260.6,97,19,118,7.21,7.18,3.4,2,3
Matthew Stafford,DET,32,QB,16,16,339,528,64.2,4084,26,4.9,10,1.9,205,73,7.7,7.9,12,255.3,96.3,38,254,6.77,6.89,6.7,3,4
Aaron Rodgers,GNB,37,QB,16,16,372,526,70.7,4299,48,9.1,5,1,216,78,8.2,9.6,11.6,268.7,121.5,20,182,7.54,8.89,3.7,1,2
Derek Carr,LVR,29,QB,16,16,348,517,67.3,4103,27,5.2,9,1.7,193,85,7.9,8.2,11.8,256.4,101.4,26,150,7.28,7.53,4.8,3,5
Kirk Cousins,MIN,32,QB,16,16,349,516,67.6,4265,35,6.8,13,2.5,212,71,8.3,8.5,12.2,266.6,105,39,256,7.22,7.43,7,1,3
Teddy Bridgewater,CAR,28,QB,15,15,340,492,69.1,3733,15,3,11,2.2,174,75,7.6,7.2,11,248.9,92.1,31,205,6.75,6.37,5.9,0,0
Baker Mayfield,CLE,25,QB,16,16,305,486,62.8,3563,26,5.3,8,1.6,188,75,7.3,7.7,11.7,222.7,95.9,26,162,6.64,6.96,5.1,2,2
Ryan Tannehill,TEN,32,QB,16,16,315,481,65.5,3819,33,6.9,7,1.5,202,75,7.9,8.7,12.1,238.7,106.5,24,173,7.22,7.9,4.8,5,6
Daniel Jones,NYG,23,QB,14,14,280,448,62.5,2943,11,2.5,10,2.2,148,53,6.6,6.1,10.5,210.2,80.4,45,286,5.39,4.92,9.1,0,0
Drew Lock,DEN,24,QB,13,13,254,443,57.3,2933,16,3.6,15,3.4,145,92,6.6,5.8,11.5,225.6,75.4,19,123,6.08,5.31,4.1,1,1
Carson Wentz,PHI,28,QB,12,12,251,437,57.4,2620,16,3.7,15,3.4,130,59,6,5.2,10.4,218.3,72.8,50,326,4.71,3.98,10.3,3,2
Joe Burrow,CIN,24,QB,10,10,264,404,65.3,2688,13,3.2,5,1.2,150,67,6.7,6.7,10.2,268.8,89.8,32,231,5.64,5.72,7.3,0,0
Drew Brees,NOR,41,QB,12,12,275,390,70.5,2942,24,6.2,6,1.5,149,52,7.5,8.1,10.7,245.2,106.4,13,89,7.08,7.6,3.2,1,3
Lamar Jackson,BAL,23,QB,15,15,242,376,64.4,2757,26,6.9,9,2.4,138,47,7.3,7.6,11.4,183.8,99.3,29,160,6.41,6.7,7.2,1,1
Cam Newton,NWE,31,QB,15,15,242,368,65.8,2657,8,2.2,10,2.7,133,50,7.2,6.4,11,177.1,82.9,31,195,6.17,5.44,7.8,1,3
Sam Darnold,NYJ,23,QB,12,12,217,364,59.6,2208,9,2.5,11,3,109,69,6.1,5.2,10.2,184,72.7,35,234,4.95,4.16,8.8,0,0
Andy Dalton,DAL,33,QB,11,9,216,333,64.9,2170,14,4.2,8,2.4,116,69,6.5,6.3,10,197.3,87.3,24,184,5.56,5.34,6.7,2,3
Gardner Minshew II,JAX,24,QB,9,8,216,327,66.1,2259,16,4.9,5,1.5,117,51,6.9,7.2,10.5,251,95.9,27,147,5.97,6.23,7.6,1,1
Nick Mullens,SFO,25,QB,10,8,211,326,64.7,2437,12,3.7,12,3.7,120,49,7.5,6.6,11.5,243.7,84.1,19,139,6.66,5.79,5.5,1,1
Nick Foles,CHI,31,QB,9,7,202,312,64.7,1852,10,3.2,8,2.6,93,50,5.9,5.4,9.2,205.8,80.8,18,145,5.17,4.69,5.5,2,2
Mitchell Trubisky,CHI,26,QB,10,9,199,297,67,2055,16,5.4,8,2.7,124,53,6.9,6.8,10.3,205.5,93.5,18,125,6.13,6,5.7,1,1
Tua Tagovailoa,MIA,22,QB,10,9,186,290,64.1,1814,11,3.8,5,1.7,100,35,6.3,6.2,9.8,181.4,87.1,20,136,5.41,5.4,6.5,2,2
Ryan Fitzpatrick,MIA,38,QB,9,7,183,267,68.5,2091,13,4.9,8,3,106,70,7.8,7.5,11.4,232.3,95.6,14,65,7.21,6.85,5,1,1
Alex Smith,WAS,36,QB,8,6,168,252,66.7,1582,6,2.4,8,3.2,74,68,6.3,5.3,9.4,197.8,78.5,22,139,5.27,4.39,8,1,1
Dwayne Haskins,WAS,23,QB,7,6,148,241,61.4,1439,5,2.1,7,2.9,73,50,6,5.1,9.7,205.6,73,20,141,4.97,4.15,7.7,1,1
Dak Prescott,DAL,27,QB,5,5,151,222,68,1856,9,4.1,4,1.8,93,58,8.4,8.4,12.3,371.2,99.6,10,66,7.72,7.72,4.3,1,1
Mike Glennon,JAX,31,QB,5,5,111,179,62,1072,7,3.9,5,2.8,57,46,6,5.5,9.7,214.4,80.1,9,53,5.42,4.97,4.8,0,0
Jalen Hurts,PHI,22,QB,15,4,77,148,52,1061,6,4.1,4,2.7,45,81,7.2,6.8,13.8,70.7,77.6,13,59,6.22,5.85,8.1,0,0
Brandon Allen,CIN,28,QB,5,5,90,142,63.4,925,5,3.5,4,2.8,42,72,6.5,6,10.3,185,82,7,51,5.87,5.33,4.7,1,1
Jimmy Garoppolo,SFO,29,QB,6,6,94,140,67.1,1096,7,5,5,3.6,55,76,7.8,7.2,11.7,182.7,92.4,11,77,6.75,6.19,7.3,0,0
Joe Flacco,NYJ,35,QB,5,4,74,134,55.2,864,6,4.5,3,2.2,36,52,6.4,6.3,11.7,172.8,80.6,7,69,5.64,5.53,5,0,0
Taysom Hill,NOR,30,QB,16,8,88,121,72.7,928,4,3.3,2,1.7,45,44,7.7,7.6,10.5,58,98.8,14,87,6.23,6.16,10.4,0,0
Jake Luton,JAX,24,QB,3,3,60,110,54.5,624,2,1.8,6,5.5,31,73,5.7,3.6,10.4,208,54.5,7,52,4.89,2.92,6,0,0
C.J. Beathard,SFO,27,QB,6,2,66,104,63.5,787,6,5.8,0,0,42,49,7.6,8.7,11.9,131.2,105.7,9,71,6.34,7.4,8,0,0
Kyle Allen,WAS,24,QB,4,4,60,87,69,610,4,4.6,1,1.1,30,52,7,7.4,10.2,152.5,99.3,7,44,6.02,6.39,7.4,0,0
Colt McCoy,NYG,34,QB,4,2,40,66,60.6,375,1,1.5,1,1.5,19,35,5.7,5.3,9.4,93.8,75,5,24,4.94,4.59,7,0,0
Jeff Driskel,DEN,27,QB,3,1,35,64,54.7,432,3,4.7,2,3.1,18,45,6.8,6.3,12.3,144,78.4,11,98,4.45,4.05,14.7,0,0
Phillip Walker,CAR,25,QB,4,1,32,56,57.1,368,1,1.8,5,8.9,17,52,6.6,2.9,11.5,92,45.8,4,31,5.62,2.2,6.7,0,0
Jarrett Stidham,NWE,24,QB,5,0,22,44,50,256,2,4.5,3,6.8,12,38,5.8,3.7,11.6,51.2,54.7,4,21,4.9,2.92,8.3,0,0
Chase Daniel,DET,34,QB,4,0,29,43,67.4,264,1,2.3,2,4.7,14,28,6.1,4.5,9.1,66,72.2,3,29,5.11,3.59,6.5,0,0
Ben DiNucci,DAL,24,QB,3,1,23,43,53.5,219,0,0,0,0,11,32,5.1,5.1,9.5,73,67.9,7,73,2.92,2.92,14,0,0
Mason Rudolph,PIT,25,QB,5,1,25,43,58.1,324,2,4.7,1,2.3,13,47,7.5,7.4,13,64.8,87.7,1,8,7.18,7.07,2.3,0,0
Brett Rypien,DEN,24,QB,3,1,27,40,67.5,295,2,5,4,10,12,48,7.4,3.9,10.9,98.3,66.1,1,0,7.2,3.78,2.4,1,1
Garrett Gilbert,DAL,29,QB,1,1,21,38,55.3,243,1,2.6,1,2.6,10,32,6.4,5.7,11.6,243,72.6,2,23,5.5,4.88,5,0,0
Chad Henne,KAN,35,QB,3,1,28,38,73.7,248,2,5.3,0,0,15,37,6.5,7.6,8.9,82.7,108.2,2,4,6.1,7.1,5,0,0
John Wolford,LAR,25,QB,1,1,22,38,57.9,231,0,0,1,2.6,12,38,6.1,4.9,10.5,231,64.7,2,8,5.58,4.45,5,0,0
Ryan Finley,CIN,26,QB,5,1,17,32,53.1,164,1,3.1,2,6.3,8,30,5.1,2.9,9.6,32.8,52.1,9,63,2.46,0.76,22,0,0
Tyrod Taylor,LAC,31,QB,2,1,16,30,53.3,208,0,0,0,0,10,37,6.9,6.9,13,104,75.4,2,1,6.47,6.47,6.3,1,1
Marcus Mariota,LVR,27,QB,1,0,17,28,60.7,226,1,3.6,1,3.6,11,35,8.1,7.2,13.3,226,83.3,0,0,8.07,7.18,0,0,0
Brian Hoyer,NWE,35,QB,1,1,15,24,62.5,130,0,0,1,4.2,8,25,5.4,3.5,8.7,130,59.4,2,18,4.31,2.58,7.7,0,0
Matt Barkley,BUF,30,QB,5,0,11,21,52.4,197,1,4.8,1,4.8,9,56,9.4,8.2,17.9,39.4,80.9,1,7,8.64,7.5,4.5,0,0
Taylor Heinicke,WAS,27,QB,1,0,12,19,63.2,137,1,5.3,0,0,6,29,7.2,8.3,11.4,137,102.3,1,7,6.5,7.5,5,0,0
Blaine Gabbert,TAM,31,QB,4,0,9,16,56.3,143,2,12.5,0,0,5,35,8.9,11.4,15.9,35.8,125.8,1,7,8,10.35,5.9,0,0
Chris Streveler,ARI,25,QB,5,0,11,16,68.8,105,1,6.3,1,6.3,5,19,6.6,5,9.5,21,81.5,2,10,5.28,3.89,11.1,0,0
Robert Griffin III,BAL,30,QB,4,1,8,14,57.1,42,0,0,2,14.3,1,9,3,-3.4,5.3,10.5,22.6,3,20,1.29,-4,17.6,0,0
Nate Sudfeld,PHI,27,QB,1,0,5,12,41.7,32,0,0,1,8.3,1,10,2.7,-1.1,6.4,32,14.6,2,16,1.14,-2.07,14.3,0,0
Jameis Winston,NOR,26,QB,4,0,7,11,63.6,75,0,0,0,0,5,19,6.8,6.8,10.7,18.8,83.5,2,11,4.92,4.92,15.4,0,0
David Blough,DET,25,QB,1,0,6,10,60,49,0,0,1,10,1,20,4.9,0.4,8.2,49,32.9,1,10,3.55,-0.55,9.1,0,0
Case Keenum,CLE,32,QB,2,0,5,10,50,46,0,0,0,0,2,24,4.6,4.6,9.2,23,62.9,0,0,4.6,4.6,0,0,0
Trace McSorley,BAL,25,QB,2,0,3,10,30,90,1,10,0,0,2,70,9,11,30,45,97.9,0,0,9,11,0,0,0
